Roll Number,Department
22H71A05D5,CSE
22H71A05D6,CSE
22H71A05D7,CSE
22H71A05D8,CSE
22H71A05D9,CSE
22H71A05E0,CSE
22H71A05E1,CSE
22H71A05E2,CSE
22H71A05E3,CSE
22H71A05E4,CSE
22H71A05E5,CSE
22H71A05E6,CSE
22H71A05E7,CSE
22H71A05E8,CSE
22H71A05E9,CSE
22H71A05F0,CSE
22H71A05F1,CSE
22H71A05F2,CSE
22H71A05F3,CSE
22H71A05F4,CSE
22H71A05F5,CSE
22H71A05F6,CSE
22H71A05F7,CSE
22H71A05F8,CSE
22H71A05F9,CSE
22H71A05G0,CSE
22H71A05G1,CSE
22H71A05G2,CSE
22H71A05G3,CSE
22H71A05G4,CSE
22H71A05G5,CSE
22H71A05G6,CSE
22H71A05G7,CSE
22H71A05G8,CSE
22H71A05G9,CSE
22H71A05H0,CSE
22H71A05H1,CSE
22H71A05H2,CSE
22H71A05H3,CSE
22H71A05H4,CSE
22H71A05H5,CSE
22H71A05H6,CSE
22H71A05H7,CSE
22H71A05H8,CSE
22H71A05H9,CSE
22H71A05I0,CSE
22H71A05I1,CSE
22H71A05I2,CSE
22H71A05I3,CSE
22H71A05I4,CSE
22H71A05I5,CSE
22H71A05I6,CSE
22H71A05I7,CSE
22H71A05I8,CSE
22H71A05I9,CSE
22H71A05J0,CSE
22H71A05J1,CSE
22H71A05J2,CSE
22H71A05J3,CSE
22H71A05J4,CSE
22H71A05J5,CSE
22H71A05J6,CSE
22H71A1201,IT
22H71A1202,IT
22H71A1203,IT
22H71A1204,IT
22H71A1205,IT
22H71A1206,IT
22H71A1207,IT
22H71A1208,IT
22H71A1209,IT
22H71A1210,IT
22H71A1211,IT
22H71A1212,IT
22H71A1213,IT
22H71A1214,IT
22H71A1215,IT
22H71A1216,IT
22H71A1217,IT
22H71A1218,IT
22H71A1219,IT
22H71A1220,IT
22H71A1221,IT
22H71A1222,IT
22H71A1223,IT
22H71A1224,IT
22H71A1225,IT
22H71A1226,IT
22H71A1227,IT
22H71A1228,IT
22H71A1229,IT
22H71A1230,IT
22H71A1231,IT
22H71A1232,IT
22H71A1233,IT
22H71A1234,IT
22H71A1235,IT
22H71A1236,IT
22H71A1237,IT
22H71A1238,IT
22H71A1239,IT
22H71A1240,IT
22H71A1241,IT
22H71A1242,IT
22H71A1243,IT
22H71A1244,IT
22H71A1245,IT
22H71A1246,IT
22H71A1247,IT
22H71A1248,IT
22H71A1249,IT
22H71A1250,IT
22H71A1251,IT
22H71A1252,IT
22H71A1253,IT
22H71A1254,IT
22H71A1255,IT
22H71A1256,IT
22H71A1257,IT
22H71A1258,IT
22H71A1259,IT
22H71A1260,IT
22H71A1261,IT
22H71A1262,IT
22H71A1263,IT
22H71A1264,IT
22H71A1265,IT
22H71A1266,IT
22H71A1267,IT
22H71A1268,IT
22H71A1269,IT
22H71A1270,IT
22H71A1271,IT
22H71A1272,IT
22H71A1273,IT
22H71A1274,IT
22H71A1275,IT
22H71A1276,IT
22H71A1277,IT
22H71A1278,IT
22H71A1279,IT
22H71A1280,IT
22H71A1281,IT
22H71A1282,IT
22H71A1283,IT
22H71A1284,IT
22H71A1285,IT
22H71A1286,IT
22H71A1287,IT
22H71A1288,IT
22H71A1289,IT
22H71A1290,IT
22H71A1291,IT
22H71A1292,IT
22H71A1293,IT
22H71A1294,IT
22H71A1295,IT
22H71A1296,IT
22H71A1297,IT
22H71A1298,IT
22H71A1299,IT
22H71A12A0,IT
22H71A12A1,IT
22H71A12A2,IT
22H71A12A3,IT
22H71A12A4,IT
22H71A12A5,IT
22H71A12A6,IT
22H71A12A7,IT
22H71A12A8,IT
22H71A12A9,IT
22H71A12B0,IT
22H71A12B1,IT
22H71A12B2,IT
22H71A12B3,IT
22H71A12B4,IT
22H71A12B5,IT
22H71A12B6,IT
22H71A12B7,IT
22H71A12B8,IT
22H71A12B9,IT
22H71A12C0,IT
22H71A12C1,IT
22H71A12C2,IT
22H71A12C3,IT
22H71A12C4,IT
22H71A12C5,IT
22H71A12C6,IT
22H71A12C7,IT
22H71A12C8,IT
22H71A12C9,IT
22H71A12D0,IT
22H71A12D1,IT
22H71A12D2,IT
22H71A5401,AIDS
22H71A5402,AIDS
22H71A5403,AIDS
22H71A5404,AIDS
22H71A5405,AIDS
22H71A5406,AIDS
22H71A5407,AIDS
22H71A5408,AIDS
22H71A5409,AIDS
22H71A5410,AIDS
22H71A5411,AIDS
22H71A5412,AIDS
22H71A5413,AIDS
22H71A5414,AIDS
22H71A5415,AIDS
22H71A5416,AIDS
22H71A5417,AIDS
22H71A5418,AIDS
22H71A5419,AIDS
22H71A5420,AIDS
22H71A5421,AIDS
22H71A5422,AIDS
22H71A5423,AIDS
22H71A5424,AIDS
22H71A5425,AIDS
22H71A5426,AIDS
22H71A5427,AIDS
22H71A5428,AIDS
22H71A5429,AIDS
22H71A5430,AIDS
22H71A5431,AIDS
22H71A5432,AIDS
22H71A5433,AIDS
22H71A5434,AIDS
22H71A5435,AIDS
22H71A5436,AIDS
22H71A5437,AIDS
22H71A5438,AIDS
22H71A5439,AIDS
22H71A5440,AIDS
22H71A5441,AIDS
22H71A5442,AIDS
22H71A5443,AIDS
22H71A5444,AIDS
22H71A5445,AIDS
22H71A5446,AIDS
22H71A5447,AIDS
22H71A5448,AIDS
22H71A5449,AIDS
22H71A5450,AIDS
22H71A5451,AIDS
22H71A5452,AIDS
22H71A5453,AIDS
22H71A5454,AIDS
22H71A5455,AIDS
22H71A5456,AIDS
22H71A5457,AIDS
22H71A5458,AIDS
22H71A5459,AIDS
22H71A5460,AIDS
22H71A5461,AIDS
22H71A5462,AIDS
22H71A5463,AIDS
22H71A5464,AIDS
22H71A5465,AIDS
22H71A5466,AIDS
22H71A5467,AIDS
22H71A5468,AIDS
22H71A5469,AIDS
22H71A5470,AIDS
22H71A5471,AIDS
22H71A5472,AIDS
22H71A5473,AIDS
22H71A5474,AIDS
22H71A5475,AIDS
22H71A5476,AIDS
22H71A5477,AIDS
22H71A5478,AIDS
22H71A5479,AIDS
22H71A5480,AIDS
22H71A5481,AIDS
22H71A5482,AIDS
22H71A5483,AIDS
22H71A5484,AIDS
22H71A5485,AIDS
22H71A5486,AIDS
22H71A5487,AIDS
22H71A5488,AIDS
22H71A5489,AIDS
22H71A5490,AIDS
22H71A5491,AIDS
22H71A5492,AIDS
22H71A5493,AIDS
22H71A5494,AIDS
22H71A5495,AIDS
22H71A5496,AIDS
22H71A5497,AIDS
22H71A5498,AIDS
22H71A5499,AIDS
22H71A54A0,AIDS
22H71A54A1,AIDS
22H71A54A2,AIDS
22H71A54A3,AIDS
22H71A54A4,AIDS
22H71A54A5,AIDS
22H71A54A6,AIDS
22H71A54A7,AIDS
22H71A54A8,AIDS
22H71A54A9,AIDS
22H71A54B0,AIDS
22H71A54B1,AIDS
22H71A54B2,AIDS
22H71A54B3,AIDS
22H71A54B4,AIDS
22H71A54B5,AIDS
22H71A54B6,AIDS
22H71A54B7,AIDS
22H71A54B8,AIDS
22H71A54B9,AIDS
22H71A54C0,AIDS
22H71A54C1,AIDS
22H71A54C2,AIDS
22H71A54C3,AIDS
22H71A54C4,AIDS
22H71A54C5,AIDS
22H71A54C6,AIDS
22H71A54C7,AIDS
22H71A54C8,AIDS
22H71A54C9,AIDS
22H71A54D0,AIDS
22H71A54D1,AIDS
22H71A54D2,AIDS
22H71A04G5,ECE
22H71A05J7,CSE
23H75A0201,EEE
23H75A0202,EEE
23H75A0203,EEE
23H75A0204,EEE
23H75A0205,EEE
23H75A0206,EEE
23H75A0207,EEE
23H75A0208,EEE
23H75A0209,EEE
23H75A0210,EEE
23H75A0211,EEE
23H75A0212,EEE
23H75A0213,EEE
23H75A0214,EEE
23H75A0215,EEE
23H75A0216,EEE
23H75A0217,EEE
23H75A0218,EEE
23H75A0219,EEE
23H75A0220,EEE
23H75A0221,EEE
23H75A0222,EEE
23H75A0223,EEE
23H75A0224,EEE
23H75A0225,EEE
23H75A0226,EEE
23H75A0227,EEE
23H75A0228,EEE
23H75A0229,EEE
23H75A0230,EEE
23H75A0231,EEE
23H75A0232,EEE
23H75A0233,EEE
23H75A0234,EEE
23H75A0235,EEE
23H75A0236,EEE
23H75A0237,EEE
23H75A0238,EEE
23H75A0239,EEE
23H75A0240,EEE
23H75A0241,EEE
23H75A0242,EEE
23H75A0243,EEE
23H75A0244,EEE
23H75A0401,ECE
23H75A0402,ECE
23H75A0403,ECE
23H75A0404,ECE
23H75A0405,ECE
23H75A0406,ECE
23H75A0407,ECE
23H75A0408,ECE
23H75A0409,ECE
23H75A0410,ECE
23H75A0411,ECE
23H75A0412,ECE
23H75A0413,ECE
23H75A0414,ECE
23H75A0415,ECE
23H75A0416,ECE
23H75A0417,ECE
23H75A0418,ECE
23H75A0419,ECE
23H75A0420,ECE
23H75A0421,ECE
23H75A0422,ECE
23H75A0423,ECE
23H75A0424,ECE
23H75A0425,ECE
23H75A0426,ECE
23H75A0427,ECE
23H75A0428,ECE
23H75A0429,ECE
23H75A0430,ECE
23H75A0431,ECE
23H75A0432,ECE
23H75A0433,ECE
23H75A0434,ECE
23H75A0435,ECE
23H75A0436,ECE
23H75A0501,CSE
23H75A0502,CSE
23H75A0503,CSE
23H75A0504,CSE
23H75A0505,CSE
23H75A0506,CSE
23H75A0507,CSE
23H75A0508,CSE
23H75A0509,CSE
23H75A0510,CSE
23H75A0511,CSE
23H75A0512,CSE
23H75A0513,CSE
23H75A0514,CSE
23H75A0515,CSE
23H75A0516,CSE
23H75A0517,CSE
23H75A0518,CSE
23H75A0519,CSE
23H75A1201,IT
23H75A1202,IT
23H75A1203,IT
23H75A1204,IT
23H75A1205,IT
23H75A1206,IT
23H75A1207,IT
23H75A1208,IT
23H75A1209,IT
23H75A1210,IT
23H75A1211,IT
23H75A1212,IT
23H75A5401,AIDS
23H75A5402,AIDS
23H75A5403,AIDS
23H75A5404,AIDS
23H75A5405,AIDS
23H75A5406,AIDS
23H75A5407,AIDS
23H75A5408,AIDS
23H75A5409,AIDS
23H75A5410,AIDS
23H75A5411,AIDS
23H75A5412,AIDS
23H75A0437,ECE
