Roll Number,Department
23H71A0521,CSE
23H71A0522,CSE
23H71A0523,CSE
23H71A0524,CSE
23H71A0525,CSE
23H71A0526,CSE
23H71A0527,CSE
23H71A0528,CSE
23H71A0529,CSE
23H71A0530,CSE
23H71A0531,CSE
23H71A0532,CSE
23H71A0533,CSE
23H71A0534,CSE
23H71A0535,CSE
23H71A0536,CSE
23H71A0537,CSE
23H71A0538,CSE
23H71A0539,CSE
23H71A0540,CSE
23H71A0541,CSE
23H71A0542,CSE
23H71A0543,CSE
23H71A0544,CSE
23H71A0545,CSE
23H71A0546,CSE
23H71A0547,CSE
23H71A0548,CSE
23H71A0549,CSE
23H71A0550,CSE
23H71A0551,CSE
23H71A0552,CSE
23H71A0553,CSE
23H71A0554,CSE
23H71A0555,CSE
23H71A0556,CSE
23H71A0557,CSE
23H71A0558,CSE
23H71A0559,CSE
23H71A0560,CSE
23H71A0561,CSE
23H71A0562,CSE
23H71A0563,CSE
23H71A0564,CSE
23H71A0565,CSE
23H71A0566,CSE
23H71A0567,CSE
23H71A0568,CSE
23H71A0569,CSE
23H71A0570,CSE
23H71A0571,CSE
23H71A0572,CSE
23H71A0573,CSE
23H71A0574,CSE
23H71A0575,CSE
23H71A0576,CSE
23H71A0577,CSE
23H71A0578,CSE
23H71A0579,CSE
23H71A0580,CSE
23H71A0581,CSE
23H71A0582,CSE
23H71A0583,CSE
23H71A0584,CSE
23H71A0585,CSE
23H71A0586,CSE
23H71A0587,CSE
23H71A0588,CSE
23H71A0589,CSE
23H71A0590,CSE
23H71A0591,CSE
23H71A0592,CSE
23H71A0593,CSE
23H71A0594,CSE
23H71A0595,CSE
23H71A0596,CSE
23H71A0597,CSE
23H71A0598,CSE
23H71A0599,CSE
23H71A05A0,CSE
23H71A05A1,CSE
23H71A05A2,CSE
23H71A05A3,CSE
23H71A05A4,CSE
23H71A05A5,CSE
23H71A05A6,CSE
23H71A05A7,CSE
23H71A05A8,CSE
23H71A05A9,CSE
23H71A05B0,CSE
23H71A05B1,CSE
23H71A05B2,CSE
23H71A05B3,CSE
23H71A05B4,CSE
23H71A05B5,CSE
23H71A05B6,CSE
23H71A05B7,CSE
23H71A05B8,CSE
23H71A05B9,CSE
23H71A05C0,CSE
23H71A05C1,CSE
23H71A05C2,CSE
23H71A05C3,CSE
23H71A05C4,CSE
23H71A05C5,CSE
23H71A05C6,CSE
23H71A05C7,CSE
23H71A05C8,CSE
23H71A05C9,CSE
23H71A05D0,CSE
23H71A05D1,CSE
23H71A05D2,CSE
23H71A05D3,CSE
23H71A05D4,CSE
23H71A05D5,CSE
23H71A05D6,CSE
23H71A05D7,CSE
23H71A05D8,CSE
23H71A05D9,CSE
23H71A05E0,CSE
23H71A05E1,CSE
23H71A05E2,CSE
23H71A05E3,CSE
23H71A05E4,CSE
23H71A05E5,CSE
23H71A05E6,CSE
23H71A05E7,CSE
23H71A05E8,CSE
23H71A05E9,CSE
23H71A05F0,CSE
23H71A05F1,CSE
23H71A05F2,CSE
23H71A05F3,CSE
23H71A05F4,CSE
23H71A05F5,CSE
23H71A05F6,CSE
23H71A05F7,CSE
23H71A05F8,CSE
23H71A05F9,CSE
23H71A05G0,CSE
23H71A05G1,CSE
23H71A05G2,CSE
23H71A05G3,CSE
23H71A05G4,CSE
23H71A05G5,CSE
23H71A05G6,CSE
23H71A05G7,CSE
23H71A05G8,CSE
23H71A05G9,CSE
23H71A05H0,CSE
23H71A05H1,CSE
23H71A05H2,CSE
23H71A05H3,CSE
23H71A05H4,CSE
23H71A05H5,CSE
23H71A05H6,CSE
23H71A05H7,CSE
23H71A05H8,CSE
23H71A05H9,CSE
23H71A05I0,CSE
23H71A05I1,CSE
23H71A05I2,CSE
23H71A05I3,CSE
23H71A05I4,CSE
23H71A05I5,CSE
23H71A1201,IT
23H71A1202,IT
23H71A1203,IT
23H71A1204,IT
23H71A1205,IT
23H71A1206,IT
23H71A1207,IT
23H71A1208,IT
23H71A1209,IT
23H71A1210,IT
23H71A1211,IT
23H71A1212,IT
23H71A1213,IT
23H71A1214,IT
23H71A1215,IT
23H71A1216,IT
23H71A1217,IT
23H71A1218,IT
23H71A1219,IT
23H71A1220,IT
23H71A1221,IT
23H71A1222,IT
23H71A1223,IT
23H71A1224,IT
23H71A1225,IT
23H71A1226,IT
23H71A1227,IT
23H71A1228,IT
23H71A1229,IT
23H71A1230,IT
23H71A1231,IT
23H71A1232,IT
23H71A1233,IT
23H71A1234,IT
23H71A1235,IT
23H71A1236,IT
23H71A1237,IT
23H71A1238,IT
23H71A1239,IT
23H71A1240,IT
23H71A1241,IT
23H71A1242,IT
23H71A1243,IT
23H71A1244,IT
23H71A1245,IT
23H71A1246,IT
23H71A1247,IT
23H71A1248,IT
23H71A1249,IT
23H71A1250,IT
23H71A1251,IT
23H71A1252,IT
23H71A1253,IT
23H71A1254,IT
23H71A1255,IT
23H71A1256,IT
23H71A1257,IT
23H71A1258,IT
23H71A1259,IT
23H71A1260,IT
23H71A1261,IT
23H71A1262,IT
23H71A1263,IT
23H71A1264,IT
23H71A1265,IT
23H71A1266,IT
23H71A1267,IT
23H71A1268,IT
23H71A1269,IT
23H71A1270,IT
23H71A1271,IT
23H71A1272,IT
23H71A1273,IT
23H71A1274,IT
23H71A1275,IT
23H71A1276,IT
23H71A1277,IT
23H71A1278,IT
23H71A1279,IT
23H71A1280,IT
23H71A1281,IT
23H71A1282,IT
23H71A1283,IT
23H71A1284,IT
23H71A1285,IT
23H71A1286,IT
23H71A1287,IT
23H71A1288,IT
23H71A1289,IT
23H71A1290,IT
23H71A1291,IT
23H71A1292,IT
23H71A1293,IT
23H71A1294,IT
23H71A1295,IT
23H71A1296,IT
23H71A1297,IT
23H71A1298,IT
23H71A1299,IT
23H71A12A0,IT
23H71A12A1,IT
23H71A12A2,IT
23H71A12A3,IT
23H71A12A4,IT
23H71A12A5,IT
23H71A12A6,IT
23H71A12A7,IT
23H71A12A8,IT
23H71A12A9,IT
23H71A12B0,IT
23H71A12B1,IT
23H71A12B2,IT
23H71A12B3,IT
23H71A12B4,IT
23H71A12B5,IT
23H71A12B6,IT
23H71A12B7,IT
23H71A12B8,IT
23H71A12B9,IT
23H71A12C0,IT
23H71A12C1,IT
23H71A12C2,IT
23H71A12C3,IT
23H71A12C4,IT
23H71A12C5,IT
23H71A12C6,IT
23H71A12C7,IT
23H71A12C8,IT
23H71A12C9,IT
23H71A12D0,IT
23H71A12D1,IT
23H71A12D2,IT
23H71A5401,AIDS
23H71A5402,AIDS
23H71A5403,AIDS
23H71A5404,AIDS
23H71A5405,AIDS
23H71A5406,AIDS
23H71A5407,AIDS
23H71A5408,AIDS
23H71A5409,AIDS
23H71A5410,AIDS
23H71A5411,AIDS
23H71A5412,AIDS
23H71A5413,AIDS
